year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,47954,아이리스,,김규태, 양윤호, 김태훈,이병헌, 김태희, 정준호,707 부대 최정예 대원이었던 ‘김현준(이병헌)’과 ‘진사우(정준호)’는 변치 않는 신뢰와 우정을 약속한 둘도 없는 친구이다. ‘현준’은 어린 시절 사고로 부모를 잃고 그 충격으로 부모에 대한 기억이 없을 뿐만 아니라 그로 인해 언제나 마음 한구석에 외로움을 가진 채 살고 있었다. 그런데 그 빈자리를 친구 ‘사우’가 채워주었다. 두 사람은 요원 선발을 위해 707 부대를 찾은 국가안전국(NSS)의 눈에 띄어 최고 요원으로 활동하게 되고 그곳에서 만난 요원 ‘최승희(김태희)’에게 동시에 호감을 갖게 된다. 하지만 ‘현준’과 ‘승희’는 어느새 특별한 관계로 발전하고, ‘사우’는 자신의 감정을 애써 감추며 현준을 위해 두 사람을 축하해 준다. NSS 동료들의 눈을 피해 몰래 사귀게 된 ‘현준’과 ‘승희’는 일본으로 여행을 다녀오고, 한국으로 돌아온 두 사람은 곧 사우와 함께 임무 수행을 위해 헝가리로 떠나게 된다. 환상적인 팀워크로 성공적인 임무를 완료하고 자축하던 중 ‘현준’에게 누군가 은밀히 만나자는 메시지가 수신된다.  ‘현준’을 기다리고 있던 NSS 간부인 백산은 그에게 위험한 단독 임무를 부여하고 ‘현준’은 이번 임무가 쉽지 않은 일임을 직감한다. 경호팀의 삼엄한 호위에도 불구하고 ‘현준’은 임무를 성공적으로 수행하지만 경호를 하고 있던 ‘철영(김승우)’과 ‘선화(김소연)’의 공격으로 부상을 입고 도망치게 된다. 숨막히는 추격전 끝에 인가에 몸을 숨긴 그는 믿었던 친구 ‘사우’에게 충격적인 배신을 당하게 된다. ‘사우’의 배신으로 총상을 입은 ‘현준’은 ‘승희’의 도움으로 탈출을 시도한다. 하지만, 중간에서 ‘승희’를 놓치게 되고 ‘현준’도 그를 쫓는 요원들에 의해 타고 있던 차량이 폭발하는 사고가 벌어져 서로가 죽었다고 오해하게 된다. ‘현준’은 정체를 알 수 없는 ‘목소리’에 의해 목숨을 구하고, 그에게 ‘아이리스’라는 비밀집단의 존재에 대해 듣게 된다. ‘아이리스’와 자신의 일과의 연관성에 복잡한 심경을 안고 현준은 일본으로 건너가고 자신을 이런 상황에 빠지게 만든 ‘백산’에게 복수하기 위한 준비를 시작한다. 하지만 일본에서도 정체 모를 냉혹한 킬러 ‘빅(T.O.P)’에게 쫓기고, 일본 내각실 요원에게 체포되어 불안하고 위험천만한 상황에 처하지만 언젠가 찾아올 반격의 시간을 기다리며 끈질긴 삶을 지속하게 된다. 한편 ‘현준’이 죽었다고 생각하는 ‘승희’는 항상 곁에서 자신을 지켜주던 ‘사우’에게 ‘현준’의 자리를 내어주게 된다.  1년 뒤, 통일을 앞둔 한국으로 ‘현준’이 돌아온다. 배신감과 상실감으로 악몽 같은 시간을 보낸 ‘현준’이 그를 그렇게 만든 자들에게 복수하기 위해 돌아온 것이다. 대통령의 도움으로 다시 NSS에 복귀한 ‘현준’은 자신의 수행원이 된 북측 최고의 요원이었던 ‘선화(김소연)’와 함께 한반도의 통일을 방해하려는 세력을 막기 위해 움직이기 시작한다. 북측의 국방위원회 호위팀장 ‘박철영(김승우)’ 또한 남한으로 파견되고 ‘철영’은 ‘현준’을 수년간 쫓아왔던 북한 공작원이자 얼마 전 남쪽으로 귀순한 ‘선화’의 흔적을 추적한다. ‘현준’은 통일준비위원회 발족식을 무사히 거행시키기 위해 발족식이 열리는 부산 벡스코 현장을 철저히 봉쇄한다. 통일을 방해하려는 세력 ‘아이리스’라는 비밀단체에 대항해 거대한 싸움을 시작한 ‘현준’은 모든 것을 건 마지막 싸움을 시작한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,47494,아이스 에이지 3: 공룡시대,애니메이션, 액션, 모험, 코미디, 가족, 멜로/로맨스,카를로스 살다나, 마이크 트메이어,존 레귀자모, 데니스 리어리, 퀸 라티파,얼음이 녹는 절체절명의 위기를 이겨낸 빙하기 친구들 매니, 엘리, 시드, 디에고. 공식 커플 매니와 엘리는 아기 맘모스 탄생 준비에 호들갑이고, 소외감을 느끼던 시드는 자신도 가족을 갖겠단 욕심에 그만 공룡 알을 훔치고 만다. 지하 공룡 세계를 발칵 뒤집어 놓은 이 대형 사건으로 인해, 위험에 처한 시드를 구하려는 빙하기 친구들은 얼음 속 신비한 야생의 세계 속으로 들어가게 되는데… 지나가는 곳곳마다 거대한 공룡들의 위협이 도사리는 숲 속에서 만난 공룡 사냥꾼 애꾸눈 벅은 지금껏 상상할 수 없었던 새로운 모험으로 빙하기 친구들을 이끈다. 한편 도토리를 쫓아 지하 공룡세계까지 도착한 스크랫 앞에 나타난 도토리 라이벌 초절정 섹시미녀 스크래티!! 거부할 수 없는 그녀의 유혹과 도토리를 향한 순정사이에서 갈등하는 스크랫의 파란만장한 운명이 예고되는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,102537,아이칼리 시즌3,드라마,,미란다 코스그로브, 제네트 맥커디, 네이단 크레스,공연 예술고등학교에 다니는 다양한 개성을 가진 학생들의 이야기.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,62273,악마가 너의 죽음을 알기 전에,범죄, 드라마, 스릴러,시드니 루멧,필립 세이모어 호프만, 에단 호크, 마리사 토메이,앤디는 돈이 필요하다. 동생 행크는 더 돈이 궁하다. 회계법인 회사의 중역으로 일하고 있는 앤디(필립 세이모어 호프만)는 겉보기엔 번지르르해 보이지만 실은 마약 중독과 분식 회계로 경제적 위기에 처해 있다. 앤디의 동생 행크(에단 호크) 역시 경제적으로 곤란하긴 마찬가지. 이혼 후 딸아이의 양육비도 제대로 대주지 못해 매번 전 아내(에이미 라이언)에게 시달리고 있는 행크는 그 와중에도 형 앤디의 부인 지나(마리사 토메이)와 부적절한 관계를 맺고 있다.  형은 간단한 일이라고 말했고, 동생은 그 말을 믿었다. 회사에서 회계 감사가 시작된다는 통보에 위기감을 느낀 앤디는 궁지에 몰린 나머지 작은 보석 가게를 털 계획을 세우고 동생 행크를 끌어들인다. 소심한 행크는 형의 어처구니없는 제안에 잠시 망설이지만, 돈의 유혹을 이기지 못해 결국 범죄에 가담할 것을 맹세한다. 하지만 막상 범죄를 실행하려고 하자 앤디는 자신의 얼굴을 상가 주변인들이 알아본다는 핑계를 대며 발을 빼고 실제 범행은 행크에게 전임한다. 드디어 범행 당일. 불안함에 친구 한 명과 보석 가게로 간 행크는 친구를 가게 안으로 들여보낸다. 그러나 친구는 가짜 총대신 진짜 총을 들고 있었고, 모든 비극은 그렇게 시작되었다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,67899,안나와 알렉스: 두 자매 이야기,공포, 스릴러,찰스 가드, 토머스 가드,에밀리 브라우닝, 아리엘 케벨, 데이빗 스트라탄,엄마의 사고사 후, 정신병원에 입원했던 안나가 집으로 돌아온다. 충격 때문이었을까? 안나는 엄마가 죽던 그 날 밤의 기억을 잃었다. 바닷가 외딴 집, 몇일 후...안나는 두번째 죽음을 목격한다. 남자친구가 시체로 발견된 것. 기억을 잃은 안나와 아버지로부터 외면당하는 언니 알렉스, 딸들의 말을 듣지 않는 아버지와 계모가 되려는 간호사 레이첼, 그리고 엄마의 혼령과 무언가를 말하려는 소년의 혼령... 그 집의 비밀은 무엇인가? 기억할 것,. 당신이 알고 있는 상식의 끝에서 스토리는 시작된다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,10378,알제리 전투,드라마, 전쟁,질로 폰테코르보,브라힘 하쟈드, 장 마틴,1954년에서 1962년 사이, 9년간 프랑스 식민통치에 대항한 알제리민족해방전선(FNL)의 무장 독립투쟁과 프랑스군의 정치적 폭력행위 등을 다큐멘터리 형식으로 재구성한 영화! 1957년 10월 어느 새벽, 알제리민족해방전선(Font de Lib ration Nationale/FNL) 소속의 나이 든 반군 한 명이 프랑스 부대의 고문을 견디다 못해 마지막 남은 지도자 ‘알리’의 은신처를 누설하고 만다. 은신처를 포위한 프랑스 군은 당장이라도 폭파할 태세이다. 오직 해방을 목표로 투쟁해 온 지도자 ‘알리’는 생사의 갈림길에서 상념에 잠긴 채 치열했던 지난 3년을 회상한다….,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,14170,알파 독,범죄, 스릴러,닉 카사베츠,안톤 옐친, 저스틴 팀버레이크, 에밀 허쉬,1999년 미국 LA. 방탕한 청춘 조니(에밀 허쉬)에겐 꿈이 있다. 아버지(브루스 윌리스)의 뒤를 이어 성공한 마약 딜러가 되는 것. 더럽게 벌어 폼나게 살겠다고 오늘도 조니는 불철주야 달린다. 하지만 프랭키(저스틴 팀버레이크)를 비롯한 똘마니 친구들은 그의 돈으로 흥청망청 즐기기에만 바쁘다. 그러던 어느 날, 친구 제이크(벤 포스터)가 빌려준 돈을 갚지 않는 당황스러운 사태가 벌어진다. 순하면 병신 된다는 정글의 법칙을 가슴에 새기며 가차 없이 응징을 가하는 조니. 하지만 그는 미처 알지 못했다. 제이크가 그의 예상보다 훨씬 심한 돌아이라는 것을. 급기야 조니는 되로 주고 말로 받으며, 오히려 그를 피해 숨는 굴욕적인 신세가 된다. 분한 조니는 자신의 위엄을 지키기 위해 위험천만한 계획을 세우게 되는데, 이번에도 그는 알지 못했다. 이것이 모든 사람들을 상상도 못한 혼돈으로 몰아가게 될 거라는 것을......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,53280,애니 레보비츠: 렌즈를 통해 들여다본 삶,다큐멘터리,바바라 레보비츠,애니 레보비츠,상업과 예술, 모든 편견과 경계를 넘어선 열정적인 개척자이자, 렌즈를 통해 들여다본 삶과 세상을 지독히도 사랑했던 전설적인 포토그래퍼 애니 레보비츠. '롤링 스톤', '베니티 페어', '보그'의 포토그래퍼를 거쳐, 록큰롤과 헐리웃 스타들에서부터 뉴스를 장식하는 세계적 거물들, 예술가와 지식인에 이르기까지 인물과 시대를 담아낸 센세이셔널한 사진들을 남겼다.  이제 그녀의 모험가적이면서도 화려한 삶과 함께 타인의 삶을 들여다보던 그녀가 정작 볼 수 없었던 자신의 삶에 관한 이야기가 펼쳐지면서, 애니 레보비츠의 또 다른 초상이 완성된다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,51407,애자,드라마, 코미디,정기훈,최강희, 김영애,세상 무서울 것 없는 대한민국 대표 청춘막장 스물 아홉 박애자! 해병대도 못잡는 그녀를 잡는 단 한 사람, 인생끝물 쉰 아홉 최영희! 고등학교 시절 ‘부산의 톨스토이’로 이름을 날렸던 박애자. 소설가의 꿈을 품고 서울로 상경했지만 고리짝적 지방신문 당선 경력과 바람둥이 남자친구, 산더미 같은 빚만 남은 스물 아홉으로 하루하루를 보내고 있다. 갑갑한 상황에서도 깡다구 하나는 죽지 않은 그녀의 유일무이한 적수는 바로 엄마 영희! 눈만 뜨면 ‘소설 써서 빤스 한 장이라도 사봤나!’고 구박하는 엄마에게 회심의 일격을 준비하고 있던 애자는 오빠의 결혼식에서 상상초월의(?) 이벤트를 벌이고, 결혼식은 아수라장이 된다. 통쾌한 복수를 마치고 콧노래를 부르며 귀가하던 그녀에게 영희가 쓰러졌다는 연락이 오고, 병원으로 달려간 그녀에겐 더욱 놀랄 소식이 기다리고 있었는데… 상상도 하지 못한 엄마의 이별 통보.. 있을 땐 성가시고, 없을 땐 그립기만 했던… “과연 내가, 그녀 없이 살수 있을까요?”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,70637,앨빈과 슈퍼밴드 2,애니메이션, 코미디, 가족, 판타지,베티 토마스,제이슨 리, 저스틴 롱, 매튜 그레이 구블러,깜찍한 외모는 물론 타고난 노래와 춤 솜씨로 전 세계를 사로잡아 버린 앨빈, 사이먼, 테오도르. 세계적인 슈퍼스타 자리에 올랐지만, 무대위 사고는 말할 것도 없고 통제 불능 악동기질은 늘 데이브의 골치거리이다. 그래서 이들에게 예절과 규율을 익히도록 하기 위한 특단의 조치로 이뤄진 &amp;lt앨빈과 슈퍼밴드 2&amp;gt의 무대는 바로 학교이다. 학교 입학과 함께 새로운 환경에 처하게 된 삼총사. 하지만 곧바로 적응 모드로 돌입, 학교 친구들을 단숨에 그들의 매력속으로 빠져들게 만든다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,63535,야스쿠니,다큐멘터리, 전쟁, 드라마,리잉,카리야 나오하루, 준이치로 고이즈미,일본에 거주하는 중국인 다큐멘터리 감독 리잉이 야스쿠니 신사를 배경으로 벌어지는 다양한 사건과 관련 인물들을 10년간의 취재를 통해 완성시킨 한중일 합작 다큐멘터리. 매년 광란의 모습을 보이는 8월 15일의 야스쿠니 신사를 기록한 것 외에, 야스쿠니 신사의 신체(神體)로써 패전까지 12년 동안 8100개나 만들어진 ‘야스쿠니도’의 제작을 재현한 92세 장인의 모습을 통해 그 역사적 의미를 밝혀간다.  동서아시아펀드, 코닥펀드 지원 프로젝트. 1997년부터 8년 동안 촬영. 갈등과 모순에 초점을 맞추어 야스쿠니 신사에 대한 이야기를 하면서 그 안에 있는 영적인 구조에 대한 보다 깊이 있는 식견을 제공하고자 한다. 천황과 일본의 전쟁에 대한 책임성과 관련하여 민감한 주제인 만큼 야스쿠니 신사에 대한 실질적인 이야기를 하는 이런 다큐멘터리는 일본 역사상 없었다. 이런 면으로 볼 때 일본에서 신사에 대하여 논의하는 것이 얼마나 어려운 일인지 이해할 수 있게 된다. 천황을 위한 전쟁의 제단으로 알려져 있으며, 때때로 전쟁이 일어났던 명치시대부터 '일본 정신'을 위한 견고한 요새가 되어 온 야스쿠니 신사는 일본 내부에서 가장 논란이 되고 있는 곳이다. 갈등과 모순에 초점을 맞춘 이 다큐멘터리는 야스쿠니 신사에 대한 몇 가지 이야기들로 구성되어 있다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,67084,약속해줘!,코미디, 드라마, 멜로/로맨스,에밀 쿠스트리차,우로스 밀로바노빅, 마리아 페트로뇨빅, 알렉산다르 베르섹,15살과 65살, 할아버지부터 손자까지 사랑찾아 삼만리! 차네는 할아버지와 함께 외딴 시골에 살고 있는 순진무구한 소년이다. 마을 주민이라고는 차네, 할아버지 그리고 할아버지를 짝사랑하는 글래머 선생님뿐!! 평화롭던 어느 날 할아버지가 차네를 불러 말하길, “할애비가 죽으면 이 마을에 너 혼자 남을 테니, 내 말대로 하겠다고 약속해다오. 도시로 가서 소를 팔아 그 돈으로 세 가지를 가져오려무나. 첫째는 성당에 걸 성화, 둘째는 기념품, 마지막으로는 너와 인생을 함께 할 참한 신부를!”  눈 감으면 코 베어가는 삭막한 도시에 도착한 차네는 과연 할아버지와의 약속을 모두 지킬 수 있을까? 두리번거리던 차네의 앞에, 햇살처럼 눈부신 야스나가 나타나는데! 차네의 모험은 이제부터 시작이다!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,72178,약수터 부르스,드라마, 코미디, 액션,손재명,배건식, 김태인,3년째 청년백수인 극소심 남, 우철은 주변과 가족의 눈치를 피해 우연히 찾게된 동네 약수터에서 버려진 목검을 줍게되고 대학때 동아리 활동으로 겨우배운 검술동작을 장난 삼아하게된다. 때 마침 약수터를 사랑하는 사람들의 모임인 약사모들은 약수터에서 발생한 일련의 사건들로 불안해하던 차에 우철이 장난삼아 하던 검술동작을 목격한 한회원의 과장된 목격담으로 인해 우철을 대단한 고수로 착각하고 우철을 약수터를 지켜낼 적임자로 여겨 그를 찾는다. 이를 알리없는 우철은 걷잡을 수 없는 사건들에 휘말리며 일파만파로 번져가는 소문들 속에 에어로빅강사 화순을 만나게 되고 자신의 목적 달성을 위한 화순의 유혹에 의해 의도치않은 약수터의 구세주로 약사모 앞에 나서게된다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,50777,약탈자들,드라마, 스릴러,손영성,김태훈, 박병은, 염지윤,장례식장에 모인 동창들은 역사학과 선생이었던 ‘상태’라는 인물의 기묘한 상태에 대해 이야기를 나누기 시작한다. 그들의 회상 속에서 또 다른 이야기가 잉태되고, 이야기의 사슬은 사람들의 관계를 새롭게 구성하면서 서사의 미로를 만들어 낸다.(The classmates reunite at the funeral of their history teacher, “Sang-tae,” and talk about his bizarre life. Their recall produces another story, and the cycle of the stories reorganizes the relationship, and lead to the labyrinth of narration.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,53350,어글리 트루스,멜로/로맨스, 코미디,로버트 루케틱,캐서린 헤이글, 제라드 버틀러,고품격 교양 방송을 지향하는 노처녀 아침 뉴스 PD 애비. 강아지보다 고양이를, 외모보다 마음을, 야한 농담 보다는 레드와인과 클래식을 즐기는 남자를 기다리는 그녀 앞에 본능충성지수 100%의 남자가 나타났다! 그는 바로 심야 TV쇼의 섹스카운셀러 마이크. ‘사랑=섹스, 남자=변태’라는 대담하고 노골적인 내용으로 방송계를 발칵 뒤집은 그가 애비의 프로그램에 출연하게된 것. 마초 9단 마이크는 남녀 관계에 대한 솔직하고 거침없는 입담으로 완벽한 사랑를 기다리는 내숭 9단 애비의 환상을 무참히 깨버린다. 그러던 어느 날, 마침내 애비 앞에 외모, 능력, 매너까지 갖춘 완벽남이 등장하면서 애비와 마이크의 새로운 내기가 시작되는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,52238,어떤 개인 날,드라마,이숙경,김도영, 지정남, 권예림,이혼 1년 차 보영은 일상의 소소한 갈등도 참아내지 못할 만큼 지쳐 있다. 집을 나서는 골목길에선 택배 청년과 시비가 붙고, 마감을 훌쩍 넘긴 원고독촉도 그녀의 신경을 곤두세운다. 이제 겨울이 지나면 마흔 살이 되는 보영은 자신의 곁에서 아이답지 않은 덤덤한 얼굴로 일상을 보내는 딸아이가 걱정스럽지만 되려 짜증만 더 낸다. 전 남편은 한 통의 문자메시지로 재혼을 통보하고, 늘 위안이 되어 주었던 친구도, 오랜만에 불러낸 옛 남자친구도 보영에게 외로움만 확인시켜줄 뿐이다. 버둥댈수록 점점 수렁에 빠져드는 것 같은 무거운 나날들.  보영은 딸아이를 시각장애인인 아버지에게 맡기고 한 연수원에 특강을 하러 간다. 연수원 숙소에서 민요강사인 정남과 함께 방을 쓰게 된 보영. 밀린 원고를 쓰려 애쓰는 보영에게 정남은 넉살 좋게 맥주를 권하며 말을 건다. 똑같이 이혼의 아픔을 가지고 있는 두 여자는 파티를 하듯 서로의 가슴 속 이야기를 하기 시작한다. 아직 이혼 후의 삶에 적응하지 못하고 마음이 닫혀있는 보영에게 정남은 ‘아프면 아프다고 말해야 한다’고 한다. 정남의 충고에 보영은 화를 내고, 정남은 그런 보영이 ‘솔직하지 못하다’며 더 몰아세운다. 다시 낯선 타인처럼 말없이 돌아누운 두 여자는 어두운 방안에서 서로의 흐느낌을 느낀다.  연출의 변. 100년을 10년처럼 달려온 대한민국의 도시 한 귀퉁이에서 사는 ‘보통사람’들은 너무 빨라진 삶의 속도 때문에 서로 마음을 통하는 법을 잊어가고 있다. 그들이 행복해 보이는 부부이건, 이혼한 사람이건, 한 달 벌이가 88만원 밖에 안 되는 청년실업자이건, 남자이건 여자이건 간에. 사람들은 점점 고통을 숨기는 일에 익숙해지고, 대충 상처를 가린 채 세상에 나아가 멀쩡한 얼굴로 살아간다. 나도, 내 친구들도. 마흔이 넘어 영화를 만들기 시작한 나는 ‘잘 사는 척’하는 게임을 멈추고 나를 그냥 ‘바라보았다’. 그리고 내가 바라본 나에 관한 영화를 만들었다. 다 만들고 보니 영화가 내게 말해주었다. ‘세상에 너 같은 사람 또 하나 있으니 너무 쓸쓸해 말라’고.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,71432,어떤방문 : 디지털삼인삼색2009,드라마,홍상수, 가와세 나오미, 라브 디아즈,정유미, 이선균, 문성근,미숙은 전주에 친구를 만나러 왔다가 스승이자 옛 애인인 상옥과 친구의 관계를 알고 홧김에 다른 남자를 전주로 불러낸다. 할아버지의 유품을 돌려주기 위해 코마라는 일본 마을을 방문한 강준일은 마을의 아가씨 하츠코와 가까워진다. 금광에서 패쇄되고 술로 세월을 보내던 페르딩, 삼토스, 윌리는 캐나다 출신의 여자가 마을을 방문하자 새로운 전환점을 모색한다.  1997년 데뷔작 <돼지가 우물에 빠진 날> 이후, 베를린과 칸을 넘나들며 왕성한 활동을 이어가는 홍상수, 1997년 칸영화제 최연소 황금카메라상, 2007년 심사위원대상을 수상한 가와세 나오미, 2008년 베니스영화제 오리종티 부문 대상, 2014년 로카르노국제영화제 황금표범상을 수상한 라브디아즈 등 세 거장이 선사하는 ‘불청객들’의 이야기   장률 이 펼치는 ‘함께 있어도 혼자인 사람들의 이야기.’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,64170,언노운 우먼,드라마, 스릴러, 미스터리,쥬세페 토르나토레,크세니야 라포포트, 미켈레 플라치도, 클로디아 게리니,젊고 부유한 보석 세공사인 아다처 부인의 집에 들어가기 위해 기존의 가정부를 사고로 위장해 없애버린 이레나. 결국 그 집의 가정부이자 딸아이 ‘떼아’의 유모로 취직한 이레나는 요리와 청소는 물론, 한번도 해 본 적 없는 운전까지 하며 그들의 환심을 산다.  아다처 부부와 딸 아이 떼아의 신뢰를 얻기 위해 무슨 일이든 감행하던 이레나는 어느 날, 정체 모를 남자에게 쫓기게 되고, 떼아의 엄마가 집을 비운 사이 떼아에게 잔혹한 훈련을 시키기 시작하는데……이레나의 주위를 맴도는 한 남자, 그리고 그녀가 벌이는 의문의 행동들. 과연 언노운 우먼 ‘이레나’의 정체는 무엇일까?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,68071,언더월드 - 라이칸의 반란,판타지, 액션, 스릴러, SF,패트릭 타투포우로스,마이클 쉰, 빌 나이, 로나 미트라,어둠이 지배하는 세상 아래의 세계. 그곳에서 최고 계급층인 뱀파이어 족과 그들에게 노예로 길러진 늑대인간 ‘라이칸’ 족은 수백 년간 종속 관계를 이어간다. 한편 라이칸 족의 루시안은 노예 종족 임에도 불구하고 뱀파이어 족의 왕인 빅터의 총애를 받아 자신의 종족을 통제한다. 그러나 루시안은 빅터의 딸 소냐와 비밀리에 금지된 사랑을 나누며 자신의 영원한 자유를 위해 함께 탈출을 계획한다. 그러던 어느 날, 루시안은 베어울프와 전투 중 위험에 처한 소냐를 구하기 위해 금기시 되어있는 칼라(라이칸을 제어하는 목에 차는 도구)를 제거 했다는 이유로 처형 위기에 처하고, 그런 루시안을 위해 소냐는 목숨을 걸고 그를 탈출시킨다. 탈출에 성공한 루시안은 그의 동족 라이칸들과 베어울프를 집결시켜 뱀파이어 족에 대항해 거대한 전쟁을 선포하는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,51947,언데드,공포, 스릴러,데이빗 S. 고이어,오데트 애나벨, 게리 올드만, 메건 굿,알 수 없는 악몽에 시달리던 케이시(오뎃 유스트만)는 어느 날 갑자기 이웃집 아이에게 공격을 받고 ‘그가 지금 태어나길 원한다’는 섬뜩한 경고를 듣는다. 그 후 보이지 않는 무엇가가 자신을 노리고 있다는 것을 느낀 케이시는 자살한 엄마의 과거에 대해 알아보던 중 자신의 탯줄에 감겨 사산된 쌍둥이 오빠의 존재를 찾게 되고, 이 모든 끔찍한 일들이 자신의 몸을 통해 다시 태어나려는 악령 때문임을 알게 된다. 점점 더 강해지는 악령의 위협 속에 케이시는 존경받는 랍비 센닥(게리 올드만)을 찾아가 도움을 청하지만 악령의 존재를 믿지 않는 센닥은 그녀를 무시하고, 케이시를 지키려는 친구들은 악령에 의해 그녀를 위협하는 자들로 변하며 그녀의 목숨을 위협하는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,124332,얼짱시대_시즌2,,박승호,김태현, 홍영기, 박지호,"어른들은 도무지 이해할 수 없는! 하지만, 온라인에서 그 어떤 연예인보다 인기가 있는 그들, 얼짱! 한층 더 레벨업된 얼짱시대2의 얼짱들! 그들의 솔직하고 비밀스러운 모습이 궁금하다!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
